Datekey,FullDateLabel,DateDescription,CalendarYear,CalendarQuarter,CalendarQuarterLabel,CalendarMonth,CalendarMonthLabel,CalendarWeek,CalendarWeekLabel
2007-03-14 00:00:00.000,2007-03-14,2007-03-14,2007,20071,Q1,200703,March,200711,Week 11
2007-03-15 00:00:00.000,2007-03-15,2007-03-15,2007,20071,Q1,200703,March,200711,Week 11
2007-03-16 00:00:00.000,2007-03-16,2007-03-16,2007,20071,Q1,200703,March,200711,Week 11
2007-03-17 00:00:00.000,2007-03-17,2007-03-17,2007,20071,Q1,200703,March,200711,Week 11
2007-03-18 00:00:00.000,2007-03-18,2007-03-18,2007,20071,Q1,200703,March,200712,Week 12
2007-03-19 00:00:00.000,2007-03-19,2007-03-19,2007,20071,Q1,200703,March,200712,Week 12
2007-03-20 00:00:00.000,2007-03-20,2007-03-20,2007,20071,Q1,200703,March,200712,Week 12
2007-03-21 00:00:00.000,2007-03-21,2007-03-21,2007,20071,Q1,200703,March,200712,Week 12
2007-03-22 00:00:00.000,2007-03-22,2007-03-22,2007,20071,Q1,200703,March,200712,Week 12
2007-03-23 00:00:00.000,2007-03-23,2007-03-23,2007,20071,Q1,200703,March,200712,Week 12
2007-03-24 00:00:00.000,2007-03-24,2007-03-24,2007,20071,Q1,200703,March,200712,Week 12
2007-03-25 00:00:00.000,2007-03-25,2007-03-25,2007,20071,Q1,200703,March,200713,Week 13
2007-03-26 00:00:00.000,2007-03-26,2007-03-26,2007,20071,Q1,200703,March,200713,Week 13
2007-03-27 00:00:00.000,2007-03-27,2007-03-27,2007,20071,Q1,200703,March,200713,Week 13
2007-03-28 00:00:00.000,2007-03-28,2007-03-28,2007,20071,Q1,200703,March,200713,Week 13
2007-03-29 00:00:00.000,2007-03-29,2007-03-29,2007,20071,Q1,200703,March,200713,Week 13
2007-03-30 00:00:00.000,2007-03-30,2007-03-30,2007,20071,Q1,200703,March,200713,Week 13
2007-03-31 00:00:00.000,2007-03-31,2007-03-31,2007,20071,Q1,200703,March,200713,Week 13
2007-04-01 00:00:00.000,2007-04-01,2007-04-01,2007,20072,Q2,200704,April,200714,Week 14
2007-04-02 00:00:00.000,2007-04-02,2007-04-02,2007,20072,Q2,200704,April,200714,Week 14
2007-04-03 00:00:00.000,2007-04-03,2007-04-03,2007,20072,Q2,200704,April,200714,Week 14
2007-04-04 00:00:00.000,2007-04-04,2007-04-04,2007,20072,Q2,200704,April,200714,Week 14
2007-04-05 00:00:00.000,2007-04-05,2007-04-05,2007,20072,Q2,200704,April,200714,Week 14
2007-04-06 00:00:00.000,2007-04-06,2007-04-06,2007,20072,Q2,200704,April,200714,Week 14
2007-04-07 00:00:00.000,2007-04-07,2007-04-07,2007,20072,Q2,200704,April,200714,Week 14
2007-04-08 00:00:00.000,2007-04-08,2007-04-08,2007,20072,Q2,200704,April,200715,Week 15
2007-04-09 00:00:00.000,2007-04-09,2007-04-09,2007,20072,Q2,200704,April,200715,Week 15
2007-04-10 00:00:00.000,2007-04-10,2007-04-10,2007,20072,Q2,200704,April,200715,Week 15
2007-04-11 00:00:00.000,2007-04-11,2007-04-11,2007,20072,Q2,200704,April,200715,Week 15
2007-04-12 00:00:00.000,2007-04-12,2007-04-12,2007,20072,Q2,200704,April,200715,Week 15
2007-04-13 00:00:00.000,2007-04-13,2007-04-13,2007,20072,Q2,200704,April,200715,Week 15
2007-04-14 00:00:00.000,2007-04-14,2007-04-14,2007,20072,Q2,200704,April,200715,Week 15
2007-04-15 00:00:00.000,2007-04-15,2007-04-15,2007,20072,Q2,200704,April,200716,Week 16
2007-04-16 00:00:00.000,2007-04-16,2007-04-16,2007,20072,Q2,200704,April,200716,Week 16
2007-04-17 00:00:00.000,2007-04-17,2007-04-17,2007,20072,Q2,200704,April,200716,Week 16
2007-04-18 00:00:00.000,2007-04-18,2007-04-18,2007,20072,Q2,200704,April,200716,Week 16
2007-04-19 00:00:00.000,2007-04-19,2007-04-19,2007,20072,Q2,200704,April,200716,Week 16
2007-04-20 00:00:00.000,2007-04-20,2007-04-20,2007,20072,Q2,200704,April,200716,Week 16
2007-04-21 00:00:00.000,2007-04-21,2007-04-21,2007,20072,Q2,200704,April,200716,Week 16
2007-04-22 00:00:00.000,2007-04-22,2007-04-22,2007,20072,Q2,200704,April,200717,Week 17
2007-04-23 00:00:00.000,2007-04-23,2007-04-23,2007,20072,Q2,200704,April,200717,Week 17
2007-04-24 00:00:00.000,2007-04-24,2007-04-24,2007,20072,Q2,200704,April,200717,Week 17
2007-04-25 00:00:00.000,2007-04-25,2007-04-25,2007,20072,Q2,200704,April,200717,Week 17
2007-04-26 00:00:00.000,2007-04-26,2007-04-26,2007,20072,Q2,200704,April,200717,Week 17
2007-04-27 00:00:00.000,2007-04-27,2007-04-27,2007,20072,Q2,200704,April,200717,Week 17
2007-04-28 00:00:00.000,2007-04-28,2007-04-28,2007,20072,Q2,200704,April,200717,Week 17
2007-04-29 00:00:00.000,2007-04-29,2007-04-29,2007,20072,Q2,200704,April,200718,Week 18
2007-04-30 00:00:00.000,2007-04-30,2007-04-30,2007,20072,Q2,200704,April,200718,Week 18
2007-05-01 00:00:00.000,2007-05-01,2007-05-01,2007,20072,Q2,200705,May,200718,Week 18
2007-05-02 00:00:00.000,2007-05-02,2007-05-02,2007,20072,Q2,200705,May,200718,Week 18
2007-05-03 00:00:00.000,2007-05-03,2007-05-03,2007,20072,Q2,200705,May,200718,Week 18
2007-05-04 00:00:00.000,2007-05-04,2007-05-04,2007,20072,Q2,200705,May,200718,Week 18
2007-05-05 00:00:00.000,2007-05-05,2007-05-05,2007,20072,Q2,200705,May,200718,Week 18
2007-05-06 00:00:00.000,2007-05-06,2007-05-06,2007,20072,Q2,200705,May,200719,Week 19
2007-05-07 00:00:00.000,2007-05-07,2007-05-07,2007,20072,Q2,200705,May,200719,Week 19
2007-05-08 00:00:00.000,2007-05-08,2007-05-08,2007,20072,Q2,200705,May,200719,Week 19
2007-05-09 00:00:00.000,2007-05-09,2007-05-09,2007,20072,Q2,200705,May,200719,Week 19
2007-05-10 00:00:00.000,2007-05-10,2007-05-10,2007,20072,Q2,200705,May,200719,Week 19
2007-05-11 00:00:00.000,2007-05-11,2007-05-11,2007,20072,Q2,200705,May,200719,Week 19
2007-05-12 00:00:00.000,2007-05-12,2007-05-12,2007,20072,Q2,200705,May,200719,Week 19
2007-05-13 00:00:00.000,2007-05-13,2007-05-13,2007,20072,Q2,200705,May,200720,Week 20
2007-05-14 00:00:00.000,2007-05-14,2007-05-14,2007,20072,Q2,200705,May,200720,Week 20
2007-05-15 00:00:00.000,2007-05-15,2007-05-15,2007,20072,Q2,200705,May,200720,Week 20
2007-05-16 00:00:00.000,2007-05-16,2007-05-16,2007,20072,Q2,200705,May,200720,Week 20
2007-05-17 00:00:00.000,2007-05-17,2007-05-17,2007,20072,Q2,200705,May,200720,Week 20
2007-05-18 00:00:00.000,2007-05-18,2007-05-18,2007,20072,Q2,200705,May,200720,Week 20
2007-05-19 00:00:00.000,2007-05-19,2007-05-19,2007,20072,Q2,200705,May,200720,Week 20
2007-05-20 00:00:00.000,2007-05-20,2007-05-20,2007,20072,Q2,200705,May,200721,Week 21
2007-05-21 00:00:00.000,2007-05-21,2007-05-21,2007,20072,Q2,200705,May,200721,Week 21
2007-05-22 00:00:00.000,2007-05-22,2007-05-22,2007,20072,Q2,200705,May,200721,Week 21
2007-05-23 00:00:00.000,2007-05-23,2007-05-23,2007,20072,Q2,200705,May,200721,Week 21
2007-05-24 00:00:00.000,2007-05-24,2007-05-24,2007,20072,Q2,200705,May,200721,Week 21
2007-05-25 00:00:00.000,2007-05-25,2007-05-25,2007,20072,Q2,200705,May,200721,Week 21
2007-05-26 00:00:00.000,2007-05-26,2007-05-26,2007,20072,Q2,200705,May,200721,Week 21
2007-05-27 00:00:00.000,2007-05-27,2007-05-27,2007,20072,Q2,200705,May,200722,Week 22
2007-05-28 00:00:00.000,2007-05-28,2007-05-28,2007,20072,Q2,200705,May,200722,Week 22
2007-05-29 00:00:00.000,2007-05-29,2007-05-29,2007,20072,Q2,200705,May,200722,Week 22
2007-05-30 00:00:00.000,2007-05-30,2007-05-30,2007,20072,Q2,200705,May,200722,Week 22
2007-05-31 00:00:00.000,2007-05-31,2007-05-31,2007,20072,Q2,200705,May,200722,Week 22
2007-06-01 00:00:00.000,2007-06-01,2007-06-01,2007,20072,Q2,200706,June,200722,Week 22
2007-06-02 00:00:00.000,2007-06-02,2007-06-02,2007,20072,Q2,200706,June,200722,Week 22
2007-06-03 00:00:00.000,2007-06-03,2007-06-03,2007,20072,Q2,200706,June,200723,Week 23
2007-06-04 00:00:00.000,2007-06-04,2007-06-04,2007,20072,Q2,200706,June,200723,Week 23
2007-06-05 00:00:00.000,2007-06-05,2007-06-05,2007,20072,Q2,200706,June,200723,Week 23
2007-06-06 00:00:00.000,2007-06-06,2007-06-06,2007,20072,Q2,200706,June,200723,Week 23
2007-06-07 00:00:00.000,2007-06-07,2007-06-07,2007,20072,Q2,200706,June,200723,Week 23
2007-06-08 00:00:00.000,2007-06-08,2007-06-08,2007,20072,Q2,200706,June,200723,Week 23
2007-06-09 00:00:00.000,2007-06-09,2007-06-09,2007,20072,Q2,200706,June,200723,Week 23
2007-06-10 00:00:00.000,2007-06-10,2007-06-10,2007,20072,Q2,200706,June,200724,Week 24
2007-06-11 00:00:00.000,2007-06-11,2007-06-11,2007,20072,Q2,200706,June,200724,Week 24
2007-06-12 00:00:00.000,2007-06-12,2007-06-12,2007,20072,Q2,200706,June,200724,Week 24
2007-06-13 00:00:00.000,2007-06-13,2007-06-13,2007,20072,Q2,200706,June,200724,Week 24
2007-06-14 00:00:00.000,2007-06-14,2007-06-14,2007,20072,Q2,200706,June,200724,Week 24
2007-06-15 00:00:00.000,2007-06-15,2007-06-15,2007,20072,Q2,200706,June,200724,Week 24
2007-06-16 00:00:00.000,2007-06-16,2007-06-16,2007,20072,Q2,200706,June,200724,Week 24
2007-06-17 00:00:00.000,2007-06-17,2007-06-17,2007,20072,Q2,200706,June,200725,Week 25
2007-06-18 00:00:00.000,2007-06-18,2007-06-18,2007,20072,Q2,200706,June,200725,Week 25
2007-06-19 00:00:00.000,2007-06-19,2007-06-19,2007,20072,Q2,200706,June,200725,Week 25
2007-06-20 00:00:00.000,2007-06-20,2007-06-20,2007,20072,Q2,200706,June,200725,Week 25
2007-06-21 00:00:00.000,2007-06-21,2007-06-21,2007,20072,Q2,200706,June,200725,Week 25
2007-06-22 00:00:00.000,2007-06-22,2007-06-22,2007,20072,Q2,200706,June,200725,Week 25
2007-06-23 00:00:00.000,2007-06-23,2007-06-23,2007,20072,Q2,200706,June,200725,Week 25
2007-06-24 00:00:00.000,2007-06-24,2007-06-24,2007,20072,Q2,200706,June,200726,Week 26
2007-06-25 00:00:00.000,2007-06-25,2007-06-25,2007,20072,Q2,200706,June,200726,Week 26
2007-06-26 00:00:00.000,2007-06-26,2007-06-26,2007,20072,Q2,200706,June,200726,Week 26
2007-06-27 00:00:00.000,2007-06-27,2007-06-27,2007,20072,Q2,200706,June,200726,Week 26
2007-06-28 00:00:00.000,2007-06-28,2007-06-28,2007,20072,Q2,200706,June,200726,Week 26
2007-06-29 00:00:00.000,2007-06-29,2007-06-29,2007,20072,Q2,200706,June,200726,Week 26
2007-06-30 00:00:00.000,2007-06-30,2007-06-30,2007,20072,Q2,200706,June,200726,Week 26
2007-07-01 00:00:00.000,2007-07-01,2007-07-01,2007,20073,Q3,200707,July,200727,Week 27
2007-07-02 00:00:00.000,2007-07-02,2007-07-02,2007,20073,Q3,200707,July,200727,Week 27
2007-07-03 00:00:00.000,2007-07-03,2007-07-03,2007,20073,Q3,200707,July,200727,Week 27
2007-07-04 00:00:00.000,2007-07-04,2007-07-04,2007,20073,Q3,200707,July,200727,Week 27
2007-07-05 00:00:00.000,2007-07-05,2007-07-05,2007,20073,Q3,200707,July,200727,Week 27
2007-07-06 00:00:00.000,2007-07-06,2007-07-06,2007,20073,Q3,200707,July,200727,Week 27
2007-07-07 00:00:00.000,2007-07-07,2007-07-07,2007,20073,Q3,200707,July,200727,Week 27
2007-07-08 00:00:00.000,2007-07-08,2007-07-08,2007,20073,Q3,200707,July,200728,Week 28
2007-07-09 00:00:00.000,2007-07-09,2007-07-09,2007,20073,Q3,200707,July,200728,Week 28
2007-07-10 00:00:00.000,2007-07-10,2007-07-10,2007,20073,Q3,200707,July,200728,Week 28
2007-07-11 00:00:00.000,2007-07-11,2007-07-11,2007,20073,Q3,200707,July,200728,Week 28
2007-07-12 00:00:00.000,2007-07-12,2007-07-12,2007,20073,Q3,200707,July,200728,Week 28
2007-07-13 00:00:00.000,2007-07-13,2007-07-13,2007,20073,Q3,200707,July,200728,Week 28
2007-07-14 00:00:00.000,2007-07-14,2007-07-14,2007,20073,Q3,200707,July,200728,Week 28
2007-07-15 00:00:00.000,2007-07-15,2007-07-15,2007,20073,Q3,200707,July,200729,Week 29
2007-07-16 00:00:00.000,2007-07-16,2007-07-16,2007,20073,Q3,200707,July,200729,Week 29
2007-07-17 00:00:00.000,2007-07-17,2007-07-17,2007,20073,Q3,200707,July,200729,Week 29
2007-07-18 00:00:00.000,2007-07-18,2007-07-18,2007,20073,Q3,200707,July,200729,Week 29
2007-07-19 00:00:00.000,2007-07-19,2007-07-19,2007,20073,Q3,200707,July,200729,Week 29
2007-07-20 00:00:00.000,2007-07-20,2007-07-20,2007,20073,Q3,200707,July,200729,Week 29
2007-07-21 00:00:00.000,2007-07-21,2007-07-21,2007,20073,Q3,200707,July,200729,Week 29
2007-07-22 00:00:00.000,2007-07-22,2007-07-22,2007,20073,Q3,200707,July,200730,Week 30
2007-07-23 00:00:00.000,2007-07-23,2007-07-23,2007,20073,Q3,200707,July,200730,Week 30
2007-07-24 00:00:00.000,2007-07-24,2007-07-24,2007,20073,Q3,200707,July,200730,Week 30
2007-07-25 00:00:00.000,2007-07-25,2007-07-25,2007,20073,Q3,200707,July,200730,Week 30
2007-07-26 00:00:00.000,2007-07-26,2007-07-26,2007,20073,Q3,200707,July,200730,Week 30
2007-07-27 00:00:00.000,2007-07-27,2007-07-27,2007,20073,Q3,200707,July,200730,Week 30
2007-07-28 00:00:00.000,2007-07-28,2007-07-28,2007,20073,Q3,200707,July,200730,Week 30
2007-07-29 00:00:00.000,2007-07-29,2007-07-29,2007,20073,Q3,200707,July,200731,Week 31
2007-07-30 00:00:00.000,2007-07-30,2007-07-30,2007,20073,Q3,200707,July,200731,Week 31
2007-07-31 00:00:00.000,2007-07-31,2007-07-31,2007,20073,Q3,200707,July,200731,Week 31
2007-08-01 00:00:00.000,2007-08-01,2007-08-01,2007,20073,Q3,200708,August,200731,Week 31
2007-08-02 00:00:00.000,2007-08-02,2007-08-02,2007,20073,Q3,200708,August,200731,Week 31
2007-08-03 00:00:00.000,2007-08-03,2007-08-03,2007,20073,Q3,200708,August,200731,Week 31
2007-08-04 00:00:00.000,2007-08-04,2007-08-04,2007,20073,Q3,200708,August,200731,Week 31
2007-08-05 00:00:00.000,2007-08-05,2007-08-05,2007,20073,Q3,200708,August,200732,Week 32
2007-08-06 00:00:00.000,2007-08-06,2007-08-06,2007,20073,Q3,200708,August,200732,Week 32
2007-08-07 00:00:00.000,2007-08-07,2007-08-07,2007,20073,Q3,200708,August,200732,Week 32
2007-08-08 00:00:00.000,2007-08-08,2007-08-08,2007,20073,Q3,200708,August,200732,Week 32
2007-08-09 00:00:00.000,2007-08-09,2007-08-09,2007,20073,Q3,200708,August,200732,Week 32
2007-08-10 00:00:00.000,2007-08-10,2007-08-10,2007,20073,Q3,200708,August,200732,Week 32
2007-08-11 00:00:00.000,2007-08-11,2007-08-11,2007,20073,Q3,200708,August,200732,Week 32
2007-08-12 00:00:00.000,2007-08-12,2007-08-12,2007,20073,Q3,200708,August,200733,Week 33
2007-08-13 00:00:00.000,2007-08-13,2007-08-13,2007,20073,Q3,200708,August,200733,Week 33
2007-08-14 00:00:00.000,2007-08-14,2007-08-14,2007,20073,Q3,200708,August,200733,Week 33
2007-08-15 00:00:00.000,2007-08-15,2007-08-15,2007,20073,Q3,200708,August,200733,Week 33
2007-08-16 00:00:00.000,2007-08-16,2007-08-16,2007,20073,Q3,200708,August,200733,Week 33
2007-08-17 00:00:00.000,2007-08-17,2007-08-17,2007,20073,Q3,200708,August,200733,Week 33
2007-08-18 00:00:00.000,2007-08-18,2007-08-18,2007,20073,Q3,200708,August,200733,Week 33
2007-08-19 00:00:00.000,2007-08-19,2007-08-19,2007,20073,Q3,200708,August,200734,Week 34
2007-08-20 00:00:00.000,2007-08-20,2007-08-20,2007,20073,Q3,200708,August,200734,Week 34
2007-08-21 00:00:00.000,2007-08-21,2007-08-21,2007,20073,Q3,200708,August,200734,Week 34
2007-08-22 00:00:00.000,2007-08-22,2007-08-22,2007,20073,Q3,200708,August,200734,Week 34
2007-08-23 00:00:00.000,2007-08-23,2007-08-23,2007,20073,Q3,200708,August,200734,Week 34
2007-08-24 00:00:00.000,2007-08-24,2007-08-24,2007,20073,Q3,200708,August,200734,Week 34
2007-08-25 00:00:00.000,2007-08-25,2007-08-25,2007,20073,Q3,200708,August,200734,Week 34
2007-08-26 00:00:00.000,2007-08-26,2007-08-26,2007,20073,Q3,200708,August,200735,Week 35
2007-08-27 00:00:00.000,2007-08-27,2007-08-27,2007,20073,Q3,200708,August,200735,Week 35
2007-08-28 00:00:00.000,2007-08-28,2007-08-28,2007,20073,Q3,200708,August,200735,Week 35
2007-08-29 00:00:00.000,2007-08-29,2007-08-29,2007,20073,Q3,200708,August,200735,Week 35
2007-08-30 00:00:00.000,2007-08-30,2007-08-30,2007,20073,Q3,200708,August,200735,Week 35
2007-08-31 00:00:00.000,2007-08-31,2007-08-31,2007,20073,Q3,200708,August,200735,Week 35
2007-09-01 00:00:00.000,2007-09-01,2007-09-01,2007,20073,Q3,200709,September,200735,Week 35
2007-09-02 00:00:00.000,2007-09-02,2007-09-02,2007,20073,Q3,200709,September,200736,Week 36
2007-09-03 00:00:00.000,2007-09-03,2007-09-03,2007,20073,Q3,200709,September,200736,Week 36
2007-09-04 00:00:00.000,2007-09-04,2007-09-04,2007,20073,Q3,200709,September,200736,Week 36
2007-09-05 00:00:00.000,2007-09-05,2007-09-05,2007,20073,Q3,200709,September,200736,Week 36
2007-09-06 00:00:00.000,2007-09-06,2007-09-06,2007,20073,Q3,200709,September,200736,Week 36
2007-09-07 00:00:00.000,2007-09-07,2007-09-07,2007,20073,Q3,200709,September,200736,Week 36
2007-09-08 00:00:00.000,2007-09-08,2007-09-08,2007,20073,Q3,200709,September,200736,Week 36
2007-09-09 00:00:00.000,2007-09-09,2007-09-09,2007,20073,Q3,200709,September,200737,Week 37
2007-09-10 00:00:00.000,2007-09-10,2007-09-10,2007,20073,Q3,200709,September,200737,Week 37
2007-09-11 00:00:00.000,2007-09-11,2007-09-11,2007,20073,Q3,200709,September,200737,Week 37
2007-09-12 00:00:00.000,2007-09-12,2007-09-12,2007,20073,Q3,200709,September,200737,Week 37
2007-09-13 00:00:00.000,2007-09-13,2007-09-13,2007,20073,Q3,200709,September,200737,Week 37
2007-09-14 00:00:00.000,2007-09-14,2007-09-14,2007,20073,Q3,200709,September,200737,Week 37
2007-09-15 00:00:00.000,2007-09-15,2007-09-15,2007,20073,Q3,200709,September,200737,Week 37
2007-09-16 00:00:00.000,2007-09-16,2007-09-16,2007,20073,Q3,200709,September,200738,Week 38
2007-09-17 00:00:00.000,2007-09-17,2007-09-17,2007,20073,Q3,200709,September,200738,Week 38
2007-09-18 00:00:00.000,2007-09-18,2007-09-18,2007,20073,Q3,200709,September,200738,Week 38
2007-09-19 00:00:00.000,2007-09-19,2007-09-19,2007,20073,Q3,200709,September,200738,Week 38
